,Id,Name,Authors,ISBN,Rating,PublishYear,PublishMonth,PublishDay,Publisher,RatingDist5,RatingDist4,RatingDist3,RatingDist2,RatingDist1,RatingDistTotal,CountsOfReview,Language,PagesNumber,Description,pagesNumber,Count of text reviews
106651,3295696,"About a Dragon (Dragon Kin, #2)",G.A. Aiken,1420103741,4.21,2008,12,1,Zebra,5:6877,4:5202,3:2436,2:436,1:145,total:15096,463,eng,360.0,"<i>C’mon dragon, light my fire…</i><br /><br />For Nolwenn witch Talaith, a bad day begins with being dragged from bed by an angry mob intent on her crispy end and culminates in rescue by—wait for it—a silver-maned dragon. Existence as a hated outcast is nothing new for a woman with such powerful secrets. The dragon, though? A tad unusual. This one has a human form to die for, and knows it. According to dragon law, Talaith is now his property, for pleasure…or otherwise. But if Lord Arrogance thinks she’s the kind of damsel to acquiesce without a word, he’s in for a surprise…<br /><br /><i>Is the woman never silent?</i> Briec the Mighty knew the moment he laid eyes on Talaith that she would be his, but he’d counted on tongue-lashings of an altogether different sort. It’s embarrassing, really, that it isn’t this outspoken female’s magicks that have the realm’s greatest dragon in her thrall. No, Briec has been spellbound by something altogether different—and if he doesn’t tread carefully, what he doesn’t know about human women could well be the undoing of his entire race…",,
109544,3304435,Invisible Monsters,Chuck Palahniuk,,3.98,1999,9,17,W.W. Norton & Company,5:46880,4:44876,3:25272,2:7628,1:2853,total:127509,564,eng,297.0,"<i>original cover of ISBN <a href=""https://www.goodreads.com/search/search?q=0393319296"" title=""0393319296"" rel=""nofollow noopener"">0393319296</a></i><br /><br />She's a fashion model who has everything: a boyfriend, a career, a loyal best friend. But when a sudden freeway ""accident"" leaves her disfigured and incapable of speech, she goes from being the beautiful center of attention to being an invisible monster, so hideous that no one will acknowledge that she exists. Enter Brandy Alexander, Queen Supreme, one operation away from becoming a real woman, who will teach her that reinventing yourself means erasing your past and making up something better. And that salvation hides in the last places you'll ever want to look.<br /><br />In this hilarious and daringly unpredictable novel, the narrator must exact revenge upon Evie, her best friend and fellow model; kidnap Manus, her two-timing ex-boyfriend; and hit the road with Brandy in search of a brand-new past, present, and future. Changing names and stories in every city, they catapult toward a final confrontation with a rifle-toting Evie — by which time the narrator will have learned that loving and being loved are not mutually exclusive, and that nothing, on the surface, is ever quite what it seems.<br /><br />",,
112568,3314369,"The Steel Remains (A Land Fit for Heroes, #1)",Richard K. Morgan,0575084812,3.74,2009,7,9,Gollancz,5:3691,4:5636,3:3635,2:1225,1:484,total:14671,878,eng,391.0,"A dark lord will rise. Such is the prophecy that dogs Ringil Eskiath—Gil, for short—a washed-up mercenary and onetime war hero whose cynicism is surpassed only by the speed of his sword. Gil is estranged from his aristocratic family, but when his mother enlists his help in freeing a cousin sold into slavery, Gil sets out to track her down. But it soon becomes apparent that more is at stake than the fate of one young woman. Grim sorceries are awakening in the land. Some speak in whispers of the return of the Aldrain, a race of widely feared, cruel yet beautiful demons. Now Gil and two old comrades are all that stand in the way of a prophecy whose fulfillment will drown an entire world in blood. But with heroes like these, the cure is likely to be worse than the disease.",,
113209,3316474,"Gotham Central, Book One: In the Line of Duty",Ed Brubaker,1401219233,4.26,2008,9,16,DC Comics,5:4094,4:2805,3:1106,2:226,1:114,total:8345,197,eng,240.0,"The first ten issues of the Eisner and Harvey Award-winning series written by Ed Brubaker (<i>Captain America</i>) and Greg Rucka (<i>Detective Comics, 52</i>) pit the detectives of Gotham City's Special Crimes Unit against the city's greatest villains - in the shadow of Batman himself. <br /><br />1. In the Line of Duty by Ed Brubaker, Greg Rucka:<br />Mister Freeze kills a cop, and the squad is in a race against time to bring him in without the help of the Dark Knight. <br /><br />2. Motive by Ed Brubaker:<br />Bonnie Lewis 14 disappeared after babysitting Friday night, <br />ransom note faxed to dad next day. Body found, dead since <br />Friday, so someone close to her was trying to divert suspicion. <br />Meanwhile, convicted Firebug sold his special fire-powered suit as memorabilia on internet.<br /><br />3. Half a Life by Greg Rucka:<br />Detective Renee Montoya is outed as a lesbian and finds her work environment and personal life turned upside down, complicated when she is kidnapped by Two-Face.",,
114918,3322012,The Archer,Abigail Roux,0981508480,3.72,2008,4,1,Dreamspinner Press,5:305,4:345,3:220,2:95,1:59,total:1024,102,,576.0,"Rocked to the core by traitors and spies, the Organization made an unprecedented move in bringing together six highly trained men to track down one rogue wolf: The Archer.<br /><br />There are three field agents: one at the top of his game, one hoping to retire, and another walking the line; a cold-blooded assassin who can use any weapon known to man; a demolitions expert who can’t resist the allure of fire; and a computer hacker with more tricks in his mouse than Houdini. This team is made up of the best of the best, and if it can’t succeed in this impossible mission, no one can. But no plan survives first contact with the enemy – especially when you can’t even find out who he is!<br /><br />Despite what a cluster the assignment is from the start, the six men try to get their act together to track down the rogue operative, and in the process they discover there’s more to life than the next assignment. Now it’s up to them to survive by working together and determining who the real traitor is: an unknown friend, a close-by enemy, or the Organization itself.",,
115188,3322866,"The Painted Man (Demon Cycle, #1)",Peter V. Brett,0007287755,4.25,2009,1,8,Harper Voyager,5:51988,4:36902,3:13078,2:3483,1:1846,total:107297,529,eng,416.0,"As darkness falls after sunset, the corelings rise—demons who possess supernatural powers and burn with a consuming hatred of humanity. For hundreds of years the demons have terrorized the night, slowly culling the human herd that shelters behind magical wards—symbols of power whose origins are lost in myth and whose protection is terrifyingly fragile. It was not always this way. Once, men and women battled the corelings on equal terms, but those days are gone. Night by night the demons grow stronger, while human numbers dwindle under their relentless assault. Now, with hope for the future fading, three young survivors of vicious demon attacks will dare the impossible, stepping beyond the crumbling safety of the wards to risk everything in a desperate quest to regain the secrets of the past. Together, they will stand against the night.",,
117991,3331431,"Noah (Nightwalkers, #5)",Jacquelyn Frank,0821780697,4.22,2008,9,1,Zebra,5:5221,4:3627,3:1708,2:379,1:119,total:11054,293,eng,471.0,"The Nightwalkers have lived in the shadows of our world for centuries, gifted with abilities few humans can comprehend. For Noah, duty is all--until he meets the woman who is his destiny...<br /><br />SHE WILL TAKE HIM BEYOND HIS WILDEST DREAMS.<br /><br />As Demon King, Noah is dedicated to protecting his kind from their human and Nightwalker enemies. Yet for six months he has struggled with vivid dreams that threaten his very sanity. Every night he's tormented by images of a woman both achingly real and tantalizingly beyond his grasp. And his bone-deep need leaves him no choice but to force her to leave the life she's known and enter a world beyond her imagining...<br /><br />Every day, Kestra risks her life in perilous missions that veer just shy of the law, but she instinctively knows that the imposingly sensual figure before her is a danger unlike any she's ever faced. Kestra has sworn never to trust or need another man, but Noah's lightest touch scorches her with fevered desire, branding her as his mate, blinding them both to the terrifying truth. For within the ranks of their own people lies an adversary growing in number and power. And nothing and no one will be safe again...<br /><br />Desire awakens at night...",,
121681,3342764,"The Magician's Apprentice (Black Magician, #0.5)",Trudi Canavan,0316037885,3.96,2009,2,23,Orbit,5:7464,4:8228,3:4967,2:1190,1:352,total:22201,497,eng,593.0,"<b>Taking place hundreds of years before the events of <i>The Magicians' Guild</i>, The Magician's Apprentice is the new novel set in the world of Trudi Canavan's Black Magician Trilogy.</b><br /><br />In the remote village of Mandryn, Tessia serves as assistant to her father, the village Healer. Her mother would rather she found a husband. But her life is about to take a very unexpected turn.<br /><br />When the advances of a visiting Sachakan mage get violent, Tessia unconsciously taps unknown reserves of magic to defend herself. Lord Dakon, the local magician, takes Tessia under his wing as an apprentice. <br /><br />The hours are long and the work arduous, but soon and exciting new world opens up to her. There are fine clothes and servants - and, to Tessia's delight - regular trips to the great city of Imardin.<br /><br />However, Tessia is about to discover that her magical gifts bring with them a great deal of responsibility. For a storm is approaching that threatens to tear her world apart.",,
123274,3347892,"Envy (Luxe, #3)",Anna Godbersen,0061345725,3.9,2009,1,27,HarperCollins,5:7358,4:9021,3:6069,2:1395,1:269,total:24112,1185,en-US,405.0,"<strong>Gossip Girl meets the Gilded Age in this delicious and compelling novel, the third in the <em>New York Times </em>bestselling series from author Anna Godbersen.</strong><br /><br />In the thrilling third installment of Anna Godbersen’s bestselling Luxe series, Manhattan’s most envied residents appear to have everything they desire: Wealth. Beauty. Happiness. But sometimes the most practiced smiles hide the most scandalous secrets.<br /><br /><em>
  <strong>Jealous whispers. Old rivalries. New betrayals. This is Manhattan, 1899.</strong>
</em><br /><br />Two months after Elizabeth Holland’s dramatic homecoming, Manhattan eagerly awaits her return to the pinnacle of society. When Elizabeth refuses to rejoin her sister Diana’s side, however, those watching New York’s favorite family begin to suspect that all is not as it seems behind the stately doors of No. 17 Gramercy Park South.<br /><br />Farther uptown, Henry and Penelope Schoonmaker are the city’s most celebrated couple. But despite the glittering diamond ring on Penelope’s finger, the newlyweds share little more than scorn for each other. And while the newspapers call Penelope’s social-climbing best friend, Carolina Broad, an heiress, her fortune—and her fame—is anything but secure.<br /><br /><strong>“Mystery, romance, jealousy, betrayal, humor, and gorgeous, historically accurate details. I couldn’t put <em>The Luxe </em>down!” —Cecily von Ziegesar, author of the #1 <em>New York Times </em>bestselling Gossip Girl series</strong>",,
123298,3348007,Soulless,Christopher Golden,1416551352,3.66,2008,10,21,MTV Books,5:188,4:300,3:242,2:71,1:28,total:829,105,eng,310.0,"<i>Newly reissued, the rollicking, action-packed zombie story from one of the genre’s hottest writers!</i><br /><br />Times Square, New York City: The first ever mass séance is broadcasting live on the Sunrise morning show. If it works, all the spirits of the departed on the other side will have a brief window -- just a few minutes -- to send a final message to their grieving loved ones. <br /><br />Clasping hands in an impenetrable grip, three mediums call to their spirit guides as the audience looks on in breathless anticipation. Then the mediums slump over, slack-jawed -- catatonic. And in cemeteries surrounding Manhattan, fragments of old corpses dig themselves out of the ground . . .<br /><br />The spirits have returned. The dead are walking. They will seek out those who loved them in life, those they left behind . . . but they are savage and they are hungry. They are no longer your mother or father, your brother or sister, your best friend or lover.<br /><br />They are soulless.<br /><br />The horror spreads quickly, droves of the ravenous dead seeking out those they left behind -- shredding flesh from bone, feeding. But a disparate group of unlikely heroes -- two headstrong college rivals, a troubled gang member, a pop star and her bodyguard -- is making its way to the center of the nightmare, fighting to protect their loved ones, fighting for their lives, and fighting to end the madness.",,
125388,3354025,"Queen of Song and Souls (Tairen Soul, #4)",C.L. Wilson,0843960604,4.29,2009,10,27,Leisure Books,5:4109,4:2773,3:1130,2:226,1:47,total:8285,314,eng,389.0,"<b>Two lovers, two hearts, one soul.</b><br /><b>Only joined can they be truly complete.</b><br /><b>Only joined can they survive the darkness.</b><br /><br />The Fey King Rain and his truemate Ellysetta share a passionate love unrivaled in the history of their world—and a forbidden power that made them outcasts from the Fading Lands. As war looms and the evil mages of Eld threaten to rip their world asunder, they must fight to defend the very kingdom and people who reviled them.<br /><br />Only by trusting completely in their love—and in themselves—can Rain and Ellysetta hope to defeat the gathering forces of Darkness. But it will take more than the strength of their devotion to endure. They must unlock the secrets of the past and find the courage to embrace the dangerous destiny that awaits them. Only they can save their world, but that victory might cost them their lives.",,
125653,3354905,American Born Chinese,Gene Luen Yang,0312384483,3.88,2008,12,23,Square Fish,5:22237,4:26959,3:16331,2:4380,1:1986,total:71893,256,,233.0,"Gene Luen Yang is the National Ambassador for Young People's Literature.<br /><br />Jin Wang starts at a new school where he's the only Chinese-American student. When a boy from Taiwan joins his class, Jin doesn't want to be associated with an FOB like him. Jin just wants to be an all-American boy, because he's in love with an all-American girl. Danny is an all-American boy: great at basketball, popular with the girls. But his obnoxious Chinese cousin Chin-Kee's annual visit is such a disaster that it ruins Danny's reputation at school, leaving him with no choice but to transfer somewhere he can start all over again. The Monkey King has lived for thousands of years and mastered the arts of kung fu and the heavenly disciplines. He's ready to join the ranks of the immortal gods in heaven. But there's no place in heaven for a monkey. Each of these characters cannot help himself alone, but how can they possibly help each other? They're going to have to find a way—if they want fix the disasters their lives have become.<br /><br /><i>American Born Chinese</i> is a 2006 National Book Award Finalist for Young People's Literature, the winner of the 2007 Eisner Award for Best Graphic Album: New, an Eisner Award nominee for Best Coloring, a 2007 Bank Street Best Children's Book of the Year, and a <i>New York Times</i> bestseller.",,
126843,3358608,"Eclipse (Twilight, #3)",Stephenie Meyer,0316027650,3.69,2009,8,4,"Little, Brown and Company",5:480332,4:369127,3:317505,2:149518,1:98689,total:1415171,521,eng,632.0,"In the dead silence, all the details suddenly fell into place for me with a burst of intuition. Something Edward didn't want me to know. Something that Jacob wouldn't have kept from me... It was never going to end, was it?<br /><br />Sink your teeth into <i>Eclipse</i>, the third book in Stephenie Meyer's riveting vampire love saga.",,
128168,3362870,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,0765356147,4.49,2009,4,28,Tor Books,5:159617,4:75787,3:20896,2:3731,1:1439,total:261470,1289,eng,724.0,"Who is the Hero of Ages?<br /><br />To end the Final Empire and restore freedom, Vin killed the Lord Ruler. But as a result, the Deepness—the lethal form of the ubiquitous mists—is back, along with increasingly heavy ashfalls and ever more powerful earthquakes. Humanity appears to be doomed.<br /><br />Having escaped death at the climax of <i>The Well of Ascension</i> only by becoming a Mistborn himself, Emperor Elend Venture hopes to find clues left behind by the Lord Ruler that will allow him to save the world. Vin is consumed with guilt at having been tricked into releasing the mystic force known as Ruin from the Well. Ruin wants to end the world, and its near omniscience and ability to warp reality make stopping it seem impossible. She can't even discuss it with Elend lest Ruin learn their plans!",,
129827,3367956,Hotel on the Corner of Bitter and Sweet,Jamie Ford,0345505336,4.02,2009,1,27,Ballantine Books,5:87069,4:108878,3:52263,2:10765,1:2877,total:261852,18243,eng,290.0,"In 1986, Henry Lee joins a crowd outside the Panama Hotel, once the gateway to Seattle's Japantown. It has been boarded up for decades, but now the new owner has discovered the belongings of Japanese families who were sent to internment camps during World War II. As the owner displays and unfurls a Japanese parasol, Henry, a Chinese American, remembers a young Japanese American girl from his childhood in the 1940s—Keiko Okabe, with whom he forged a bond of friendship and innocent love that transcended the prejudices of their Old World ancestors. After Keiko and her family were evacuated to the internment camps, she and Henry could only hope that their promise to each other would be kept. Now, forty years later, Henry explores the hotel's basement for the Okabe family's belongings and for a long-lost object whose value he cannot even begin to measure. His search will take him on a journey to revisit the sacrifices he has made for family, for love, for country.",,
132331,3375373,Too Many Toys,David Shannon,0439490294,4.04,2008,10,1,The Blue Sky Press,5:1758,4:1324,3:933,2:209,1:74,total:4298,317,eng,32.0,"Spencer has too many toys! His father trips over them, his mother falls over them, and the house is overflowing with junk. Now it's time to give some of the mountain of goodies away, but Spencer finds it hard. In the end, he fills a box, but decides the one toy he can't part with is the box!",,
136991,3389671,"Jessica's Guide to Dating on the Dark Side (Jessica, #1)",Beth Fantaskey,0152063846,3.84,2009,2,1,Harcourt,5:13376,4:11995,3:9446,2:3150,1:1310,total:39277,2513,en-US,351.0,"The undead can really screw up your senior year ... <br /><br />Marrying a vampire definitely doesn’t fit into Jessica Packwood’s senior year “get-a-life” plan. But then a bizarre (and incredibly hot) new exchange student named Lucius Vladescu shows up, claiming that Jessica is a Romanian vampire princess by birth—and he’s her long-lost fiancé. Armed with newfound confidence and a copy of Growing Up Undead: A Teen Vampire’s Guide to Dating, Health, and Emotions, Jessica makes a dramatic transition from average American teenager to glam European vampire princess. But when a devious cheerleader sets her sights on Lucius, Jess finds herself fighting to win back her wayward prince, stop a global vampire war—and save Lucius’s soul from eternal destruction.",,
137349,3390872,"Reason Enough (Dan and Elle, #1.5)",Megan Hart,1426818629,3.72,2008,6,1,Spice Briefs,5:397,4:638,3:533,2:142,1:23,total:1733,119,eng,45.0,"Elle and Dan haven't quite achieved their goal of having sex in every room of their new house--but <i>almost!</i> Marriage hasn't dampened their hunger for one another in the least, and their relationship is as hot and passionate as ever. But when Dan brings up the subject of having a baby together, Elle finds herself conflicted. Between her dysfunctional family background and her fear of how a baby might change their life together, Elle's not sure she's ready for the big step. Dan doesn't bring the subject up again, but the issue takes hold in Elle's mind. And as their frequent lovemaking sizzles with unquenchable desire, Elle's heart is filled to the brim with love and the longing to give Dan <i>everything</i>.",,
137697,3392123,"Fables, Vol. 11: War and Pieces",Bill Willingham,1401219136,4.25,2008,11,25,Vertigo,5:6295,4:4941,3:1972,2:310,1:107,total:13625,522,eng,192.0,"The final battle between the free Fables of the mundane world and the Empire occupying their former Homelands is about to begin, and the scrappy storybook heroes have already managed to even the odds considerably. With his previously unstoppable wooden soldiers neutralized, the Adversary is about to get his first taste of high technology in the form of steel-jacketed bullets and laser-guided bombs. But the ruler who conquered a hundred different worlds didn’t do it by fighting clean—and he’s still got a surprise or two left to spring on the residents of Fabletown.<br /><br /><b>Collecting</b>: <i>Fables</i> 70-75",,
138073,3393124,"Max (Maximum Ride, #5)",James Patterson,0316002895,4.06,2009,3,16,jimmy patterson,5:29770,4:20097,3:12970,2:4099,1:1395,total:68331,2019,eng,309.0,"James Patterson's bestselling Maximum Ride series is back, with Max and the gang as The Protectors. Someone--or some<i>thing-</i>-is decimating ships and sea life off Hawaii's coast, and Max and her flock find themselves sucked into the Navy's top-secret investigation of the catastrophe. Their objective: Rescue Max's activist mom from a wicked subterranean enemy. The hitch: They must dive deep into dark waters, where gruesome evil dwells... and for high-flying Maximum Ride, could there be <i>anything</i> more terrifying than being trapped in the great abyss? This soaring new adventure takes Maximum Ride and the Flock into terrifying new territory--fans, hold your breath! <i></i>",,
139555,3397464,Nothing Personal,Jaci Burton,1605041076,3.65,2008,6,1,Samhain Publishing,5:863,4:1356,3:1254,2:370,1:87,total:3930,205,eng,208.0,"<i>It was nothing personal, just a business arrangement.</i> <br /><br />Ryan McKay is a multi-millionaire with a problem. He needs a bride to fulfill the terms of his grandfather's will. Unfortunately, the one he chose just bailed on him and he's hours away from losing his company. Enter Faith Lewis, his demure, devoted assistant. Ryan convinces Faith to step in and marry him, assuring her their marriage is merely a business deal. Ryan is certain he can keep this strictly impersonal. After all, he's the product of a loveless marriage and for years has sealed his own heart in an icy stone. Despite Faith's warmth, compassion and allure, he's convinced he's immune to her charms. <br /><br />Faith will do anything for her boss, but marry him? The shy virgin sees herself as plain and unattractive, a product of a bitter mother who drummed into her head that she wasn't worthy of a mans love. But she agrees to help Ryan fulfill the terms of his grandfather's will, hoping she doesn't lose her heart to him in the process. But love rarely listens to logic, and what follows is anything but business.",,
139926,3398625,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,David Grann,0385513534,3.86,2009,2,24,Doubleday/Random House (NY),5:19757,4:30425,3:17788,2:3943,1:1334,total:73247,5332,eng,339.0,"A grand mystery reaching back centuries. A sensational disappearance that made headlines around the world. A quest for truth that leads to death, madness or disappearance for those who seek to solve it. <i>The Lost City of Z</i> is a blockbuster adventure narrative about what lies beneath the impenetrable jungle canopy of the Amazon.<br /><br />After stumbling upon a hidden trove of diaries, New Yorker writer David Grann set out to solve ""the greatest exploration mystery of the 20th century"": What happened to the British explorer Percy Fawcett &amp; his quest for the Lost City of Z?<br /><br />In 1925, Fawcett ventured into the Amazon to find an ancient civilization, hoping to make one of the most important discoveries in history. For centuries Europeans believed the world's largest jungle concealed the glittering kingdom of El Dorado. Thousands had died looking for it, leaving many scientists convinced that the Amazon was truly inimical to humans. But Fawcett, whose daring expeditions inspired Conan Doyle's <i>The Lost World</i>, had spent years building his scientific case. Captivating the imagination of millions round the globe, Fawcett embarked with his 21-year-old son, determined to prove that this ancient civilisation--which he dubbed Z--existed. Then his expedition vanished. Fawcett's fate, &amp; the tantalizing clues he left behind about Z, became an obsession for hundreds who followed him into the uncharted wilderness. <br /><br />For decades scientists &amp; adventurers have searched for evidence of Fawcett's party &amp; the lost City of Z. Countless have perished, been captured by tribes or gone mad. As Grann delved ever deeper into the mystery surrounding Fawcett's quest, &amp; the greater mystery of what lies within the Amazon, he found himself, like the generations who preceded him, being irresistibly drawn into the jungle's green hell. His quest for the truth &amp; discoveries about Fawcett's fate &amp; Z form the heart of this complexly enthralling narrative.",,
140926,3401459,"Veil of Lies (Crispin Guest, #1)",Jeri Westerson,0312379773,3.62,2008,10,28,Minotaur Books,5:330,4:557,3:482,2:151,1:46,total:1566,180,eng,288.0,"Crispin Guest is a disgraced knight, stripped of his rank and his honor - but left with his life - for plotting against Richard II.  Having lost his bethrothed, his friends, his patrons and his position in society.  With no trade to support him and no family willing to acknowledge him, Crispin has turned to the one thing he still has - his wits - to scrape a living together on the mean streets of London.  In 1383, Guest is called to the compound of a merchant - a reclusive mercer who suspects that his wife is being unfaithful and wants Guest to look into the matter.  Not wishing to sully himself in such disgraceful, dishonorable business but in dire need of money, Guest agrees and discovers that the wife is indeed up to something, presumably nothing good.  But when he comes to inform his client, he is found dead - murdered in a sealed room, locked from the inside.  Now Guest has come to the unwanted attention of the Lord Sheriff of London and most recent client was murdered while he was working for him.  And everything seems to turn on a  religious relic - a veil reported to have wiped the brow of Christ - that is now missing.",,
142935,3407877,The Forgotten Garden,Kate Morton,0330449605,4.14,2008,6,1,Pan Books,5:75028,4:76514,3:31100,2:5932,1:1799,total:190373,14449,eng,648.0,"A foundling, an old book of dark fairy tales, a secret garden, an aristocratic family, a love denied, and a mystery. <i>The Forgotten Garden</i> is a captivating, atmospheric and compulsively readable story of the past, secrets, family and memory from the international best-selling author Kate Morton.<br /><br />Cassandra is lost, alone and grieving. Her much loved grandmother, Nell, has just died and Cassandra, her life already shaken by a tragic accident ten years ago, feels like she has lost everything dear to her. But an unexpected and mysterious bequest from Nell turns Cassandra’s life upside down and ends up challenging everything she thought she knew about herself and her family.<br /><br />Inheriting a book of dark and intriguing fairytales written by Eliza Makepeace—the Victorian authoress who disappeared mysteriously in the early twentieth century—Cassandra takes her courage in both hands to follow in the footsteps of Nell on a quest to find out the truth about their history, their family and their past; little knowing that in the process, she will also discover a new life for herself.<br />",,
144144,3411292,"The Host  (The Host, #1)",Stephenie Meyer,0316068055,3.84,2010,4,13,"Little, Brown and Company",5:329851,4:260269,3:178618,2:71678,1:49725,total:890141,332,eng,619.0,"Melanie Stryder refuses to fade away. The earth has been invaded by a species that take over the minds of their human hosts while leaving their bodies intact, and most of humanity has succumbed. <br /><br /> Wanderer, the invading ""soul"" who has been given Melanie's body, knew about the challenges of living inside a human: the overwhelming emotions, the too vivid memories. But there was one difficulty Wanderer didn't expect: the former tenant of her body refusing to relinquish possession of her mind. <br /><br /> Melanie fills Wanderer's thoughts with visions of the man Melanie loves -- Jared, a human who still lives in hiding. Unable to separate herself from her body's desires, Wanderer yearns for a man she's never met. As outside forces make Wanderer and Melanie unwilling allies, they set off to search for the man they both love. <br /><br /> Featuring what may be the first love triangle involving only two bodies, <i>The Host</i> is a riveting and unforgettable novel that will bring a vast new readership to one of the most compelling writers of our time.",,
147647,3419808,The Secret Scripture (McNulty Family),Sebastian Barry,0571215289,3.8,2008,5,1,Faber and Faber,5:4423,4:7027,3:4229,2:1250,1:390,total:17319,1812,eng,300.0,"Nearing her one-hundredth birthday, Roseanne McNulty faces an uncertain future, as the Roscommon Regional Mental hospital where she's spent the best part of her adult life prepares for closure. Over the weeks leading up to this upheaval, she talks often with her psychiatrist Dr Grene, and their relationship intensifies and complicates.<br /><br />Told through their respective journals, the story that emerges is at once shocking and deeply beautiful. Refracted through the haze of memory and retelling, Roseanne's story becomes an alternative, secret history of Ireland's changing character and the story of a life blighted by terrible mistreatment and ignorance, and yet marked still by love and passion and hope.",,
148352,3422076,"Made to Be Broken (Nadia Stafford, #2)",Kelley Armstrong,0553588389,4.09,2009,2,24,Bantam,5:1861,4:2204,3:1038,2:146,1:25,total:5274,230,eng,416.0,"The author of the acclaimed Women of the Otherworld series returns with her latest novel featuring an exciting heroine with a lethal hidden talent. This time she's hot on the trail of a young woman no one else cares about--and a killer who's bound to strike again.<br /><br />Nadia Stafford isn't your typical nature lodge owner. An ex-cop with a legal code all her own, she's known only as ""Dee"" to her current employer: a New York crime family that pays her handsomely to bump off traitors. But when Nadia discovers that a troubled teenage employee and her baby have vanished in the Canadian woods, the memory of a past loss comes back with a vengeance and her old instincts go into overdrive.<br /><br />With her enigmatic mentor, Jack, covering her back, Nadia unearths sinister clues that point to an increasingly darker and deadlier mystery. Now, with her obsession over the case deepening, the only way Nadia can right the wrongs of the present is to face her own painful ghosts--and either bury them for good, or die trying. Because in her book everyone deserves a chance. And everyone deserves justice.",,
149732,3426092,"Witch Heart (Elemental Witches, #3)",Anya Bast,0425225534,3.99,2009,1,6,Berkley Sensation,5:846,4:909,3:532,2:129,1:28,total:2444,118,eng,296.0,"<b>Desire pulses within...</b><br /><br /><i>With a strange and powerful type of elemental magick, Claire isn't destined to be a demon's handmaiden. Yet this has been her fate since she was six, when her warlock mother brought her to Eudae. Now an adult, she's about to discover her true power—and how far others are willing to go to take it away.</i><br /><br />As part of a Coven mission, Adam Tyrell rescues Claire from her enslavement—and finds himself immediately taken with the beautiful witch. But this charming playboy soon learns that it's easier to steal Claire from demons than win her heart, for her life as a servant has ravaged her spirit. But Adam's determination to protect her from the warlocks who want to harness her magick for evil begins to weaken Claire's resistance—and in the heat of danger they find themselves surrendering to the lure of their deepest desires.",,
150654,3428935,"The Warded Man (Demon Cycle, #1)",Peter V. Brett,0345503805,4.25,2009,3,10,Random House,5:52049,4:36941,3:13092,2:3497,1:1867,total:107446,3211,eng,416.0,"As darkness falls after sunset, the corelings rise—demons who possess supernatural powers and burn with a consuming hatred of humanity. For hundreds of years the demons have terrorized the night, slowly culling the human herd that shelters behind magical wards—symbols of power whose origins are lost in myth and whose protection is terrifyingly fragile. It was not always this way. Once, men and women battled the corelings on equal terms, but those days are gone. Night by night the demons grow stronger, while human numbers dwindle under their relentless assault. Now, with hope for the future fading, three young survivors of vicious demon attacks will dare the impossible, stepping beyond the crumbling safety of the wards to risk everything in a desperate quest to regain the secrets of the past. Together, they will stand against the night.",,
150898,3429805,Dinosaur Lake,Kathryn Meyer Griffith,,3.94,2012,8,29,Amazon Kindle Direct,5:484,4:352,3:251,2:96,1:38,total:1221,205,eng,439.0,"An ancient predator has been reborn in the caves beneath Crater Lake…and it’s hungry. <br /><br />Ex-cop Henry Shore has been Chief Park Ranger at Crater Lake National Park for eight years and he likes his park and his life the way it’s been. Safe. Tranquil. Predictable. But he’s about to be tested in so many ways. First the earthquakes begin…people begin to go missing…then there’s some mysterious water creature that’s taken up residence in the caves below Crater Lake and it’s not only growing in size, it’s aggressive and cunning…and very hungry. <br />And it’s decided it likes human beings. To eat.<br />And it can come up onto land.<br />So Henry, with the help of his wife, Ann; a young paleontologist named Justin; and a band of brave men must not only protect his park and his people from the monster but somehow find where it lives and destroy it…before it can kill again. ***",,
151074,3430269,"Mortal Sins (World of the Lupi, #5)",Eileen Wilks,0425225526,4.19,2009,2,3,Berkley,5:1970,4:2011,3:790,2:80,1:28,total:4879,119,eng,334.0,"FBI agent Lily Yu is in North Carolina with her lover and mate, Rule Turner, Lu Nuncio of the Nokolai werewolf clan. He is there to take custody of his son from the boy's grandmother. It's a purely personal trip until Rule, in wolf form, finds three bodies in a shallow grave. They carry the stench of death magic, which makes the murders a federal crime. Lily takes charge of the investigation and soon realizes that nothing adds up- not the motives or the main suspect, who is behind bars when death strikes again.<br /><br />But murder, however bizarre, is an everyday affair for Lily, who was a homicide cop before being recruited into the FBI's Magical Crimes Division. A more personal shock arrives in the form of Rule's son's mother. Why would she now challenge Rule's plan to bring his son to live among the Nokolai? But family matters must take a backseat when the violence escalates, and there's no rhyme or reason for the next strike- by a killer who may not even be of this world.",,
151209,3430737,"Fairy Tail, Vol. 04 (Fairy Tail, #4)",Hiro Mashima,0345505573,4.46,2008,9,16,Del Rey,5:3962,4:1698,3:703,2:103,1:25,total:6491,121,en-GB,208.0,"S IS FOR SCREWUP<br /><br />S-Class quests are so dangerous that one false move means certain death! Now loose cannon Natsu, rookie Lucy, and nearly powerless Happy have embarked on a stolen S-Class quest, setting out for the Demon Island. Can anyone stop them before they get themselves killed?",,
